samprate,bicubic_aa_changerate_mean,bicubic_noaa_changerate_mean,bilinear_aa_changerate_mean,bilinear_noaa_changerate_mean,magick_aa_changerate_mean,magick_noaa_changerate_mean,nearest_aa_changerate_mean,nearest_noaa_changerate_mean,bicubic_aa_changerate_ci95,bicubic_noaa_changerate_ci95,bilinear_aa_changerate_ci95,bilinear_noaa_changerate_ci95,magick_aa_changerate_ci95,magick_noaa_changerate_ci95,nearest_aa_changerate_ci95,nearest_noaa_changerate_ci95
0.05,0.0021059981016355142,0.05194744613187954,0.002034378447884216,0.05195277007074247,0.07622188199717679,0.058008243485527,0.0019118644738123052,0.05194744613187954,5.517339628995218e-05,0.00175795203996382,5.1948806795504866e-05,0.0017585190828983935,0.0020839344169899677,0.0013352248694431179,5.027286200311199e-05,0.00175795203996382
0.0625,0.002519934348228193,0.03778025467695353,0.002541293483904465,0.03780199409397716,0.09511071004105011,0.0753495799665758,0.0017581040490329699,0.03778025467695353,6.879298248867474e-05,0.0013954505543026115,6.87889288313989e-05,0.0013981752789451304,0.0025420317795477035,0.0017265100092704502,5.134312165042496e-05,0.0013954505543026115
0.08,0.0029661945093457944,0.03723860727787513,0.002888173452914071,0.03455261674130322,0.06406460422345535,0.05123891860153816,0.0026480891622858256,0.04859374492958204,8.712451990225589e-05,0.0014524641404394154,8.610043225348067e-05,0.0013099830711454077,0.0021038659698385475,0.001406246657321047,7.683886432366601e-05,0.001976589649443458
0.1,0.0034179053697754413,0.04586243753245067,0.0033595321829569054,0.04586826851311007,0.07189523096767912,0.05822113765981957,0.0030423775392653166,0.04586243753245067,0.00010810291173220178,0.002006317637937596,0.0001051934421142777,0.002006944060063278,0.002344741442094882,0.0015414436613407736,9.693670558721596e-05,0.002006317637937596
0.125,0.004046573817172897,0.0339889130240784,0.003968489380516615,0.03401527919749481,0.09994243808005582,0.08719642140040888,0.0026147511641679646,0.0339889130240784,0.00014011650325856766,0.0015106013764282298,0.00013566529934648462,0.0015154147415471185,0.0030218724339344965,0.0023444246450409854,9.390177048837924e-05,0.0015106013764282298
0.13333333333333333,0.003961390795366043,0.0350064191491433,0.0038800105870327103,0.03246924537983515,0.1035927587332879,0.07970462533667576,0.003519250348844756,0.04563300111954829,0.00014021030006018112,0.0015030034397061375,0.0001352739192701442,0.001372667305482777,0.0033334446082517095,0.0020699648709591764,0.00011923624589380476,0.0020553366853206466
0.16,0.0043761953246816525,0.03556947450380068,0.004254315350506757,0.02973763511483238,0.05770759820442438,0.048982743166092774,0.004032190525110447,0.04743643461294828,0.0001599619486060374,0.001551408286407652,0.00015585021734583018,0.0012514069770237749,0.001948874593446525,0.0013077167235034574,0.0001273511928413828,0.0020893417518939228
0.2,0.004826985338351977,0.042844964860009105,0.004905232281640219,0.042874180439483614,0.046103391141226586,0.03964477920135276,0.00434194320694589,0.042844964860009105,0.00018814824658626846,0.0020573484045406216,0.0001874408760925979,0.002060079827920391,0.001608303381883953,0.0010463476182390986,0.0001583840502164863,0.0020573484045406216
0.25,0.005357106526692708,0.04753233591715495,0.005406824747721354,0.04754015604654948,0.03703231811523437,0.032132403055826826,0.004746373494466146,0.04753233591715495,0.00022085849128726715,0.0019848725779207737,0.00022072639728838196,0.0019859685940920952,0.0013367263984902602,0.0008632579765590934,0.00017701552058641733,0.0019848725779207737
0.5,0.008883459280922774,0.03486481511780105,0.009047647046793193,0.034892680382853404,0.05391302458278796,0.04644436661485602,0.007745393283704188,0.03486481511780105,0.00038753817615947057,0.0018092247632371802,0.000400579279008077,0.0018149132580214734,0.002396600388251646,0.0014543266193399152,0.00028990287939096427,0.0018092247632371802
