embrate,J-UNIWARD_dec_changerate_mean,J-UNIWARD_post_changerate_mean,J-UNIWARD_pre_changerate_mean,UERD_dec_changerate_mean,UERD_post_changerate_mean,UERD_pre_changerate_mean,nsF5_dec_changerate_mean,nsF5_post_changerate_mean,nsF5_pre_changerate_mean,J-UNIWARD_dec_changerate_ci95,J-UNIWARD_post_changerate_ci95,J-UNIWARD_pre_changerate_ci95,UERD_dec_changerate_ci95,UERD_post_changerate_ci95,UERD_pre_changerate_ci95,nsF5_dec_changerate_ci95,nsF5_post_changerate_ci95,nsF5_pre_changerate_ci95
0.05,0.19555066426595052,0.006534385681152344,0.04930591583251953,0.1824430465698242,0.005988502502441406,0.044952646891276045,0.2998146692911784,0.015144538879394532,0.05165545145670573,0.00846392927035745,0.00030742583741734787,0.0020083934841103276,0.00833933852390536,0.00029690954924457873,0.001888166696729384,0.010942623403654761,0.0007765965819525087,0.002036844981299469
0.1,0.29974409739176433,0.011219151814778646,0.09924666086832683,0.2855460484822591,0.01053918202718099,0.0920855204264323,0.4656275431315104,0.027665138244628906,0.11299934387207031,0.011171321546917213,0.0004942069181276569,0.0038744939127204493,0.011128327676873091,0.0004828688217196837,0.0037760565024910256,0.013029476524803078,0.0012747368960837762,0.004176148180177461
0.15,0.36868089040120444,0.015152931213378906,0.14641990661621093,0.3536552429199219,0.014387893676757812,0.1371119817097982,0.5619901657104492,0.038207689921061196,0.17586625417073568,0.01240613195309004,0.0006446397745698407,0.00545657115271623,0.012479539125600065,0.0006423570570314607,0.0054278954672160665,0.01327425518142465,0.00165709550673808,0.006058766142559577
0.2,0.4180706659952799,0.018607648213704427,0.1902870814005534,0.40392850240071615,0.01779168446858724,0.1795395533243815,0.6229998270670573,0.04753233591715495,0.2379079818725586,0.013075357699199123,0.0007795647134859468,0.006775677643903299,0.013201946259526464,0.0007782512468285681,0.006772840758130382,0.013086015284565463,0.0019848725779207737,0.0076168448162112915
0.25,0.4556377410888672,0.02176494598388672,0.2308441162109375,0.4433193842569987,0.02095902760823568,0.21900946299235027,0.6650981267293294,0.056124242146809895,0.29736995697021484,0.013493532623345562,0.0009159866666056009,0.00786865047497451,0.013582160836387603,0.0009116702848993867,0.00787601965550605,0.01279891634547254,0.002277403712360002,0.008852157108132268
0.3,0.48633804321289065,0.024742317199707032,0.2681726455688477,0.4752405802408854,0.02399590810139974,0.2556399663289388,0.6961716969807943,0.06409212748209635,0.35390008290608727,0.013683638182215848,0.0010358628744978173,0.008777345855722122,0.013821978063414519,0.0010407997946835098,0.00880929909872127,0.012543763678304457,0.0025395005976444384,0.009824973980067481
0.35,0.5136224110921224,0.02771587371826172,0.30277538299560547,0.5024312973022461,0.02693475087483724,0.2894695281982422,0.7194063186645507,0.07160733540852865,0.40682862599690756,0.013767564174577397,0.0011696288913735603,0.009532405383169112,0.013931134692148678,0.0011666682520343704,0.009569758972943928,0.01228841377627081,0.0027821523382216507,0.010559352503867945
0.4,0.5358905156453451,0.030564562479654948,0.33471425374348956,0.525860595703125,0.029737472534179688,0.3209910074869792,0.7382933298746744,0.078892453511556,0.4562433878580729,0.013791278403427596,0.0013017788672176483,0.010162175759316319,0.013985370366978552,0.0012916666078133538,0.01020825504503767,0.012074129624927227,0.0030109874588969843,0.011098640319392207
